127.0.0.1 - - [25/Nov/2017:19:08:24 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:26 +0100] "GET /essentials/rest/project/ping HTTP/1.1" 200 6850
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:26 +0100] "GET /essentials HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/ HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/angular/angular.js?v=4.0.2 HTTP/1.1" 200 1221184
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/hippo-theme/dist/css/main.css?v=4.0.2 HTTP/1.1" 200 177365
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/angular-animate/angular-animate.js?v=4.0.2 HTTP/1.1" 200 150829
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/jquery/dist/jquery.js?v=4.0.2 HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/chosen-js/chosen.jquery.js?v=4.0.2 HTTP/1.1" 200 46370
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/angular-ui-tree/dist/angular-ui-tree.css?v=4.0.2 HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/angular-aria/angular-aria.js?v=4.0.2 HTTP/1.1" 200 15296
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/angular-ui-bootstrap/dist/ui-bootstrap-tpls.js?v=4.0.2 HTTP/1.1" 200 275010
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/js/lib/angular-ui-tree.js?v=4.0.2 HTTP/1.1" 200 37613
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/angular-ui-router/release/angular-ui-router.js?v=4.0.2 HTTP/1.1" 200 175484
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/angular-chosen-localytics/dist/angular-chosen.js?v=4.0.2 HTTP/1.1" 200 6341
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/hippo-theme/dist/js/main.js?v=4.0.2 HTTP/1.1" 200 18995
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/js/Essentials.js?v=4.0.2 HTTP/1.1" 200 4605
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/js/directives.js?v=4.0.2 HTTP/1.1" 200 21203
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/js/controllers.js?v=4.0.2 HTTP/1.1" 200 7403
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/js/routes.js?v=4.0.2 HTTP/1.1" 200 6962
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/js/loader.js HTTP/1.1" 200 4648
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/components/angular-sanitize/angular-sanitize.js?v=4.0.2 HTTP/1.1" 200 26997
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:29 +0100] "GET /essentials/js/app.js?v=4.0.2 HTTP/1.1" 200 12901
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:31 +0100] "GET /essentials/rest/plugins/modules HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/feature/documentWizardPlugin/documentWizardPlugin.js HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/tool/beanwriter/beanwriter.js HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/feature/relatedDocumentsPlugin/relatedDocumentsPlugin.js HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/tool/galleryPlugin/galleryPlugin.js HTTP/1.1" 200 13713
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/feature/contentBlocks/contentBlocks.js HTTP/1.1" 200 6508
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/tool/galleryPlugin/galleryPlugin.css HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/feature/taggingPlugin/taggingPlugin.js HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/feature/taxonomyPlugin/taxonomyPlugin.js HTTP/1.1" 200 5505
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/tool/selectionPlugin/selectionPlugin.js HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/tool/bloomreachConnector/bloomreachConnector.js HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:32 +0100] "GET /essentials/tool/restServices/restServices.js HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [25/Nov/2017:19:08:33 +0100] "GET /essentials/feature/blogPlugin/blogPlugin.js HTTP/1.1" 200 5128
